,year,selling_price,km_driven,fuel,seller_type,transmission,owner,Manufacturer,Model,Variant
298,2017,530000,10832,Petrol,Dealer,Manual,First Owner,Ford,Figo Aspire 1.2 Ti-VCT,Trend
299,2018,624000,14681,Diesel,Dealer,Manual,First Owner,Ford,Figo Aspire,Facelift
300,2009,250000,50000,Petrol,Individual,Manual,First Owner,Hyundai,i10,Era
301,2016,585000,51000,Diesel,Dealer,Manual,First Owner,Mahindra,Bolero,SLX
302,2015,500000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Verna 1.4,VTVT
303,2014,350000,30000,Petrol,Individual,Manual,First Owner,Chevrolet,Sail 1.2 LT,ABS
304,2014,495000,80000,Diesel,Dealer,Manual,First Owner,Honda,City i-DTEC,SV
305,2017,500000,50000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa,Asta
306,2015,430000,200000,Diesel,Individual,Manual,First Owner,Mahindra,Bolero Power Plus Plus AC BSIV,PS
307,2013,345000,44000,Petrol,Dealer,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Sportz,Option
308,2015,500000,10000,Petrol,Individual,Manual,First Owner,Maruti,Baleno Sigma,1.2
309,2019,425000,19600,Petrol,Individual,Manual,First Owner,Tata,Tiago 1.2 Revotron,XZ
310,2005,80000,40000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R,LXI
311,2011,106000,50000,Diesel,Individual,Manual,First Owner,Chevrolet,Beat Diesel,LS
312,2009,180000,46730,Petrol,Individual,Manual,First Owner,Maruti,A-Star,Vxi
313,2015,250000,40000,Petrol,Individual,Manual,Second Owner,Datsun,GO,A
314,2011,350000,80000,Diesel,Individual,Manual,First Owner,Skoda,Yeti Ambition,4WD
315,2002,60000,80000,Petrol,Individual,Manual,Second Owner,Maruti,Zen LXi,BSII
316,2018,900000,24000,Diesel,Individual,Manual,First Owner,Hyundai,Verna CRDi 1.6,EX
317,2017,700000,21170,Diesel,Dealer,Manual,First Owner,Ford,Aspire Titanium Diesel,BSIV
318,2013,2000000,167223,Diesel,Dealer,Automatic,First Owner,BMW,3 Series 320d,Sport
319,2017,1000000,40000,Diesel,Individual,Manual,First Owner,Maruti,Ertiga SHVS ZDI,Plus
320,2011,1375000,60000,Diesel,Individual,Automatic,First Owner,BMW,X1 sDrive 20d,Exclusive
321,2016,1800000,141440,Diesel,Dealer,Manual,First Owner,Toyota,Innova Crysta 2.4 VX,MT
322,2007,160000,120000,Diesel,Individual,Manual,Third Owner,Chevrolet,Tavera Neo 3 10 Seats,BSIV
323,2012,525000,140000,Petrol,Individual,Automatic,First Owner,Mitsubishi,Outlander,2.4
324,2012,850000,212814,Diesel,Dealer,Manual,First Owner,Mahindra,XUV500 W8,2WD
325,2019,800000,30000,Diesel,Individual,Manual,First Owner,Maruti,Baleno Alpha,1.3
326,2017,700000,88635,Diesel,Dealer,Manual,First Owner,Ford,Figo Aspire 1.5 TDCi,Titanium
327,2018,800000,25000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire,VDI
328,2017,575000,20000,Petrol,Individual,Manual,Second Owner,Hyundai,i20 1.2,Spotz
329,2012,350000,110000,Diesel,Individual,Manual,Second Owner,Renault,Duster 110PS Diesel,RxZ
330,2008,250000,120000,Diesel,Individual,Manual,Third Owner,Maruti,Swift Vdi,BSIII
331,2011,600000,149674,Diesel,Dealer,Manual,Second Owner,Ford,Endeavour Titanium,4X2
332,2007,370000,100000,Diesel,Individual,Manual,Third Owner,Mahindra,Scorpio 2.6 Turbo 9,Str
333,2006,80000,120000,Petrol,Individual,Manual,Third Owner,Maruti,Baleno,Vxi
334,2003,50000,120000,Diesel,Individual,Manual,Second Owner,Tata,Indica,DLX
335,2018,900000,25000,Diesel,Individual,Manual,First Owner,Hyundai,Verna CRDi 1.6,EX
336,2014,300000,35000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI BS,IV
337,2002,125000,40000,Petrol,Individual,Manual,First Owner,Tata,Indica,LSI
338,2015,490000,60000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire,VDI
339,2012,300000,50000,Diesel,Individual,Manual,Second Owner,Toyota,Etios Liva,GD
340,2013,55000,25000,Petrol,Individual,Manual,Fourth & Above Owner,Tata,Nano,STD
341,2016,350000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10,Sportz
342,2019,755000,8000,Diesel,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 CRDi,Asta
343,2017,720000,60000,Diesel,Individual,Manual,First Owner,Maruti,Ertiga SHVS,VDI
344,2006,229999,200000,Diesel,Individual,Manual,Third Owner,Mahindra,Bolero,SLX
345,2018,1100000,20000,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio S7 140,BSIV
346,2013,400000,100000,Petrol,Individual,Manual,First Owner,Volkswagen,Polo Petrol Comfortline,1.2L
347,2015,350000,70000,Diesel,Individual,Manual,Second Owner,Hyundai,Xcent 1.1 CRDi,Base
348,2012,159000,68000,Diesel,Dealer,Manual,First Owner,Chevrolet,Beat Diesel,PS
349,2017,550000,38000,Petrol,Dealer,Manual,First Owner,Maruti,Swift ZXi,BSIV
350,2013,335000,80000,Diesel,Dealer,Manual,First Owner,Maruti,Ritz,VDi
351,2014,185000,72000,CNG,Dealer,Manual,First Owner,Tata,Indigo CS Emax CNG,GLX
352,2012,229999,75000,CNG,Dealer,Manual,First Owner,Maruti,Eeco 5 STR With AC Plus HTR,CNG
353,2014,225000,43000,Petrol,Dealer,Manual,First Owner,Maruti,Estilo,LXI
354,2007,250000,120000,Petrol,Individual,Manual,Second Owner,Maruti,Swift VXI with,ABS
355,2015,400000,100000,Diesel,Individual,Manual,First Owner,Tata,Zest Quadrajet 1.3,XM
356,2014,470000,163000,Diesel,Individual,Manual,First Owner,Maruti,Swift VDI,BSIV
357,2018,300000,25000,Petrol,Individual,Automatic,First Owner,Maruti,Alto K10 VXI AGS,Optional
358,2011,145000,25000,Petrol,Individual,Manual,First Owner,Maruti,Alto,LX
359,2007,100000,90000,Petrol,Individual,Manual,Second Owner,Maruti,SX4 Vxi,BSIII
360,2014,500000,70000,Diesel,Individual,Manual,Second Owner,Mahindra,Scorpio SLE,BSIV
361,2010,130000,98000,CNG,Individual,Manual,Second Owner,Hyundai,Santro Xing GLS,CNG
362,2010,240000,81925,Diesel,Individual,Manual,First Owner,Chevrolet,Cruze,LTZ
363,2013,150000,80000,Diesel,Individual,Manual,Second Owner,Ford,Figo Diesel Celebration,Edition
364,2017,270000,40000,Petrol,Individual,Manual,First Owner,Renault,KWID RXT,Optional
365,2014,400000,90000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire,VDI
366,2012,200000,46000,Petrol,Individual,Manual,First Owner,Hyundai,EON Era,Plus
367,2012,550000,80000,Diesel,Individual,Manual,First Owner,Mahindra,XUV500 W6,2WD
368,2018,325000,35000,Petrol,Individual,Manual,First Owner,Renault,KWID 1.0 RXT,Optional
369,2017,860000,82080,Diesel,Individual,Automatic,First Owner,Skoda,Rapid 1.5 TDI AT Style,BSIV
370,2012,600000,200000,Diesel,Individual,Manual,First Owner,Mahindra,XUV500 W8,2WD
371,2009,125000,70000,Petrol,Individual,Manual,First Owner,Chevrolet,Spark,1.0
372,2000,60000,40000,Petrol,Individual,Manual,Third Owner,Maruti,800,AC
373,2010,300000,120000,Diesel,Individual,Manual,Third Owner,Chevrolet,Tavera Neo 3 10 Seats,BSIV
374,2007,190000,60000,Petrol,Individual,Manual,Third Owner,Ford,Fiesta 1.6 ZXi,Duratec
375,2013,400000,110000,Diesel,Individual,Manual,First Owner,Maruti,Ertiga,VDI
376,2011,260000,97000,Diesel,Individual,Manual,Second Owner,Tata,Manza Aura Quadrajet BS,IV
377,2017,400000,30000,Petrol,Individual,Manual,First Owner,Maruti,Swift VVT,VXI
378,2010,250000,40000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Sportz,Petrol
379,2019,600000,10000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa,Asta
380,2010,175000,52047,Petrol,Individual,Manual,First Owner,Maruti,Zen Estilo VXI,BSIV
381,2011,450000,200000,Diesel,Individual,Manual,Third Owner,Toyota,Innova 2.5 G (Diesel) 8 Seater BS,IV
382,2019,350000,15000,Petrol,Individual,Automatic,Second Owner,Tata,Tiago 1.2 Revotron,XZA
383,2018,800000,50000,Diesel,Individual,Manual,First Owner,Maruti,Vitara Brezza,ZDi
384,2011,250000,70000,Petrol,Individual,Manual,Second Owner,Maruti,Swift VXI,BSIII
385,2019,600000,10000,Petrol,Individual,Manual,First Owner,Maruti,Swift VXI,BSIV
386,2017,600000,90000,Diesel,Individual,Manual,First Owner,Maruti,Swift VDI,BSIV
387,2016,130000,40000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,LXI
388,2006,90000,62009,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R,LXI
389,2017,595000,33100,Petrol,Individual,Manual,Second Owner,Hyundai,i20 Active 1.2,S
390,2014,190000,40000,Petrol,Individual,Manual,Second Owner,Hyundai,EON Era,Plus
391,1999,50000,120000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro GLS I - Euro,I
392,2007,95000,80000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI,Minor
393,2016,1000000,70000,Diesel,Individual,Manual,First Owner,Tata,Safari Storme,VX
394,2006,220000,220000,Petrol,Individual,Manual,Second Owner,Mahindra,Scorpio REV,116
395,2010,400000,50000,Diesel,Individual,Manual,First Owner,Mahindra,Bolero,SLX
396,2015,315000,45000,Petrol,Individual,Manual,Second Owner,Datsun,GO Plus,A
397,2014,1000000,110000,Diesel,Individual,Manual,First Owner,Toyota,Fortuner 4x4,MT
398,2014,500000,49000,Diesel,Individual,Manual,First Owner,Ford,Ecosport 1.5 DV5 MT,Titanium
399,2018,1600000,35000,Diesel,Individual,Automatic,First Owner,Mahindra,XUV500 W11 AT,BSIV
400,2017,500000,160000,Diesel,Individual,Manual,First Owner,Mahindra,Supro VX 8,Str
401,2007,70000,180000,Petrol,Individual,Manual,Third Owner,Maruti,Alto,LX
402,2007,105000,60000,Petrol,Individual,Manual,Second Owner,Maruti,800,AC
403,2008,400000,110000,Diesel,Individual,Manual,Third Owner,Ford,Endeavour 2.5L 4X2,MT
404,2004,80000,60000,Petrol,Individual,Manual,Third Owner,Maruti,Wagon R,LXI
405,2016,300000,30000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,VXI
406,2017,409999,40000,Diesel,Individual,Manual,First Owner,Mahindra,KUV 100 D75,K2
407,2009,250000,70000,Petrol,Individual,Manual,First Owner,Maruti,Swift,Glam
408,2010,250000,120000,Diesel,Individual,Manual,Second Owner,Tata,New Safari DICOR 2.2 EX,4x2
409,2012,215000,80000,Diesel,Individual,Manual,Third Owner,Maruti,Swift Dzire,VDI
410,2015,1400000,120000,Diesel,Individual,Manual,First Owner,Toyota,Fortuner 4x4,MT
411,2018,475000,20000,Petrol,Individual,Manual,First Owner,Honda,Brio 1.2 VX,MT
412,2018,475000,22000,Petrol,Individual,Manual,First Owner,Honda,Brio 1.2 VX,MT
413,2008,75000,35000,Petrol,Individual,Manual,Second Owner,Chevrolet,Spark 1.0,LS
414,2013,200000,120000,Diesel,Individual,Manual,Second Owner,Chevrolet,Sail Hatchback LS,ABS
415,2019,575000,8000,Petrol,Individual,Manual,First Owner,Tata,Tiago NRG,Petrol
416,2011,150000,40000,Diesel,Individual,Manual,Second Owner,Maruti,Ritz,VDi
417,2018,850000,10000,Diesel,Individual,Manual,First Owner,Maruti,Vitara Brezza ZDi,Plus
418,2019,350000,30000,Petrol,Individual,Manual,First Owner,Hyundai,Santro,Era
419,2011,550000,54000,Diesel,Individual,Manual,Second Owner,Ford,Endeavour 2.5L 4X2,MT
420,2017,330000,80577,Petrol,Individual,Manual,First Owner,Hyundai,Verna 1.4,VTVT
421,2017,1044999,25000,Diesel,Individual,Manual,First Owner,Honda,City i-DTEC,V
422,2011,300000,127500,Diesel,Individual,Manual,Second Owner,Hyundai,Verna 1.6,CRDI
423,2015,235000,40903,Petrol,Dealer,Manual,First Owner,Hyundai,EON D Lite,Plus
424,2011,120000,60000,Petrol,Individual,Manual,Third Owner,Ford,Figo Petrol,Titanium
425,2004,130000,46000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R,VXI
426,2004,275000,22288,Diesel,Dealer,Manual,Second Owner,Ford,Endeavour 4x4,XLT
427,2011,270000,180000,Diesel,Individual,Manual,Second Owner,Volkswagen,Jetta 2.0 TDI,Trendline
428,2015,500000,30000,Diesel,Individual,Manual,Second Owner,Volkswagen,Polo 1.5 TDI,Highline
429,2015,400000,61690,Petrol,Dealer,Manual,First Owner,Hyundai,Grand i10,Sportz
430,2015,600000,64484,Petrol,Dealer,Manual,First Owner,Hyundai,i20 Asta,1.2
431,2012,1350000,90000,Diesel,Individual,Automatic,Second Owner,Audi,Q5 2.0,TDI
432,2013,400000,75976,Diesel,Dealer,Manual,Second Owner,Renault,Duster 85PS Diesel,RxE
433,2011,220000,70000,Diesel,Individual,Manual,Second Owner,Ford,Figo Diesel,Titanium
434,2012,300000,85962,Petrol,Dealer,Manual,Second Owner,Honda,Brio E,MT
435,2018,250000,120000,Petrol,Individual,Manual,First Owner,Maruti,Omni E MPI STD BS,IV
436,2015,600000,120000,Diesel,Individual,Manual,First Owner,Honda,Mobilio V i,DTEC
437,2012,285000,75000,Petrol,Individual,Automatic,Second Owner,Honda,Brio S Option,AT
438,2009,350000,57035,Petrol,Dealer,Manual,First Owner,Honda,Accord 2.4,MT
439,2011,170000,70000,Diesel,Individual,Manual,Third Owner,Mahindra,Bolero,SLX
440,2015,229999,45000,Petrol,Individual,Manual,First Owner,Ford,Figo 1.2P Ambiente,MT
441,2013,500000,72104,Diesel,Dealer,Manual,Second Owner,Mahindra,XUV500 W6,2WD
442,2011,75000,15000,Petrol,Individual,Manual,First Owner,Tata,Nano,Lx
443,2016,600000,30000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Active 1.2,SX
444,2011,220000,80000,Diesel,Individual,Manual,First Owner,Tata,Indigo LS,Dicor
445,2009,150000,164000,Diesel,Individual,Manual,Second Owner,Tata,Indica Vista Terra 1.4,TDI
446,2006,65000,124439,Petrol,Individual,Manual,Second Owner,Maruti,Alto,LX
447,2006,120000,77000,Petrol,Individual,Manual,Second Owner,Maruti,Zen,VXI
448,2014,240000,90000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire,VDI
449,2017,390000,30000,Petrol,Individual,Manual,First Owner,Renault,KWID 1.0 RXT,Optional
450,2012,180000,50000,Petrol,Individual,Manual,First Owner,Chevrolet,Beat,LS
451,2012,320000,80000,Diesel,Individual,Manual,Second Owner,Maruti,Swift,VDI
452,2018,310000,5000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,LXI
453,2018,420000,24000,Petrol,Individual,Automatic,First Owner,Maruti,Wagon R AMT,VXI
454,2019,550000,10000,Petrol,Individual,Manual,First Owner,Tata,Tiago NRG,Petrol
455,2016,550000,78000,Diesel,Individual,Manual,Third Owner,Maruti,Ertiga SHVS,VDI
456,2018,760000,50000,Diesel,Individual,Manual,First Owner,Mahindra,TUV 300 T4,Plus
457,2001,43000,100000,Petrol,Individual,Manual,Second Owner,Maruti,800 AC,BSII
458,2018,250000,20000,Petrol,Individual,Manual,First Owner,Maruti,Omni MPI STD,BSIV
459,2019,500000,1250,Petrol,Individual,Manual,First Owner,Hyundai,Santro Magna,BSIV
460,2015,380000,17152,Petrol,Individual,Manual,First Owner,Tata,Zest Revotron 1.2,XT
461,2019,1850000,5000,Diesel,Individual,Automatic,First Owner,Mahindra,XUV500 W11 Option AT,AWD
462,2012,350000,77000,Diesel,Individual,Manual,First Owner,Volkswagen,Polo Diesel Trendline,1.2L
463,2008,195000,90000,Diesel,Individual,Manual,Second Owner,Hyundai,Verna,CRDi
464,2011,225000,80000,Petrol,Individual,Manual,Second Owner,Chevrolet,Beat,LS
465,2015,1125000,65000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 G (Diesel) 7,Seater
466,2011,133000,80000,Diesel,Individual,Manual,First Owner,Tata,Indica Vista Quadrajet,LX
467,2013,200000,24005,Petrol,Individual,Manual,First Owner,Hyundai,EON Era,Plus
468,2018,940000,20000,Diesel,Individual,Manual,First Owner,Maruti,Vitara Brezza ZDi,Plus
469,2014,400000,120000,Diesel,Individual,Manual,First Owner,Renault,Duster 85PS Diesel,RxL
470,2009,120000,120000,Petrol,Individual,Manual,Second Owner,Hyundai,i10 Era,1.1
471,2015,625000,80000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire,ZDI
472,2005,110000,80000,Petrol,Individual,Manual,First Owner,Maruti,Swift 1.3,VXi
473,2012,490000,100000,Diesel,Individual,Manual,First Owner,Renault,Duster 110PS Diesel,RxZ
474,2009,140000,120000,Petrol,Individual,Manual,Second Owner,Maruti,Alto,LX
475,2011,175000,149000,Diesel,Individual,Manual,Second Owner,Ford,Figo Diesel,ZXI
476,2005,90000,65000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R LXI,BSIII
477,2009,275000,100000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Ldi,BSIV
478,2011,300000,65000,Diesel,Individual,Manual,Second Owner,Volkswagen,Vento Diesel,Highline
479,2018,270000,19000,Petrol,Individual,Manual,Second Owner,Datsun,GO Plus T Option,BSIV
480,2010,130000,80000,Petrol,Individual,Manual,Second Owner,Chevrolet,Beat,LT
481,2015,275000,30000,Petrol,Individual,Manual,First Owner,Maruti,Alto K10 VXI,Airbag
482,2012,352000,109000,Diesel,Individual,Manual,First Owner,Maruti,Swift,VDI
483,2012,180000,90000,LPG,Individual,Manual,First Owner,Hyundai,EON LPG Magna,Plus
484,2012,150000,90000,Petrol,Individual,Manual,First Owner,Maruti,Alto,LX
486,2010,300000,110000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Vdi,BSIII
487,2007,225000,120000,Diesel,Individual,Manual,First Owner,Mahindra,Bolero DI DX 7,Seater
488,2014,600000,44000,Diesel,Individual,Manual,First Owner,Honda,Mobilio V i,DTEC
489,2015,500000,80000,Petrol,Individual,Manual,First Owner,Maruti,Ertiga BSIV,ZXI
490,2018,900000,5000,Petrol,Individual,Manual,First Owner,Honda,BR-V i-VTEC S,MT
491,2016,600000,61000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Magna,1.2
492,2011,450000,100000,Diesel,Individual,Manual,Second Owner,Toyota,Etios,VD
493,2009,270000,27633,Petrol,Individual,Manual,First Owner,Hyundai,i10 Era,1.1
494,2010,310000,100000,Diesel,Individual,Manual,Third Owner,Maruti,Swift Vdi,BSIII
495,2012,250000,100000,LPG,Individual,Manual,First Owner,Hyundai,Santro Xing GLS Audio,LPG
496,2019,700000,12586,Petrol,Dealer,Manual,First Owner,Ford,Figo 1.2P Titanium,MT
497,2018,650000,38083,Diesel,Dealer,Manual,First Owner,Fiat,Avventura Urban Cross 1.3 Multijet,Emotion
498,2012,400000,55328,Diesel,Dealer,Manual,First Owner,Ford,Figo Diesel,ZXI
499,2012,425000,81632,Diesel,Dealer,Manual,First Owner,Ford,Figo Diesel,Titanium
500,2016,600000,155201,Diesel,Dealer,Manual,First Owner,Ford,Aspire Titanium Diesel,BSIV
501,2013,600000,93283,Diesel,Dealer,Manual,First Owner,Ford,EcoSport 1.5 TDCi Titanium,BSIV
502,2009,300000,217871,Diesel,Dealer,Manual,First Owner,Maruti,Swift Ldi,BSIII
503,2012,450000,90165,Diesel,Dealer,Manual,First Owner,Ford,Fiesta Classic 1.4 Duratorq,CLXI
504,2014,750000,101504,Diesel,Dealer,Manual,First Owner,Ford,Ecosport 1.5 DV5 MT,Titanium
505,2010,325000,86017,Diesel,Dealer,Manual,Second Owner,Ford,Figo Titanium Diesel,BSIV
506,2013,900000,85036,Diesel,Dealer,Manual,Second Owner,Mahindra,XUV500 W8,2WD
507,2006,180000,91086,Petrol,Dealer,Manual,Second Owner,Ford,Ikon 1.3L Rocam,Flair
508,2013,350000,160254,Diesel,Dealer,Manual,Second Owner,Fiat,Punto 1.3,Emotion
509,2013,600000,125531,Diesel,Dealer,Manual,Second Owner,Ford,EcoSport 1.5 TDCi Titanium,BSIV
510,2019,900000,60000,Diesel,Individual,Manual,First Owner,Honda,WR-V i-DTEC,V
511,2006,350000,100000,Diesel,Individual,Manual,First Owner,Skoda,Laura L n K 1.9,PD
512,2013,280000,90000,Diesel,Individual,Manual,Third Owner,Maruti,Ritz,LDi
513,2009,225000,120000,Diesel,Individual,Manual,Second Owner,Mahindra,Xylo,D2
514,2014,520000,82000,Diesel,Individual,Manual,First Owner,Honda,City i DTEC,S
515,2016,509999,60000,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio 1.99,S4
516,2019,556000,24000,Petrol,Individual,Manual,First Owner,Maruti,Baleno Alpha,1.2
517,2014,225000,120000,Diesel,Individual,Manual,First Owner,Tata,Indigo Grand,Dicor
518,2013,325000,65000,Diesel,Dealer,Manual,First Owner,Honda,Amaze EX,i-Dtech
519,2013,365000,65000,Diesel,Dealer,Manual,First Owner,Maruti,Swift,VDI
520,2015,850000,84000,Diesel,Dealer,Manual,First Owner,Hyundai,Creta 1.6 CRDi SX,Plus
521,2013,350000,75000,Diesel,Dealer,Manual,First Owner,Toyota,Etios GD,SP
522,2007,225000,50000,Diesel,Dealer,Manual,First Owner,Maruti,Swift,VDI
523,2011,135000,50000,Petrol,Individual,Manual,First Owner,Maruti,Alto,LX
524,2007,140000,49000,Petrol,Dealer,Manual,First Owner,Maruti,Wagon R LXI,Minor
525,2016,665000,560000,Diesel,Dealer,Manual,First Owner,Maruti,SX4 S Cross DDiS 320,Delta
526,2015,275000,14365,Petrol,Dealer,Manual,First Owner,Renault,KWID,RXT
527,2017,2750000,41000,Diesel,Individual,Automatic,First Owner,Toyota,Fortuner 2.8 4WD AT,BSIV
528,2013,484999,65000,Diesel,Dealer,Manual,First Owner,Hyundai,Verna 1.6,SX
529,2015,565000,65000,Diesel,Dealer,Manual,First Owner,Maruti,Ciaz VDi Option,SHVS
530,2013,425000,61083,Diesel,Dealer,Manual,First Owner,Maruti,Swift Dzire,VDI
531,2013,925000,75000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 VX (Diesel) 8,Seater
532,2012,565000,72000,Diesel,Dealer,Manual,First Owner,Mahindra,Scorpio VLX 2WD AIRBAG SE,BSIV
533,2014,525000,65000,Diesel,Dealer,Manual,First Owner,Renault,Duster 110PS Diesel,RxL
534,2017,1650000,55000,Diesel,Dealer,Manual,First Owner,Hyundai,Tucson 2.0 e-VGT 2WD,MT
535,2015,295000,21000,Petrol,Dealer,Manual,Second Owner,Hyundai,EON Era,Plus
536,2012,2050000,66363,Petrol,Dealer,Automatic,Second Owner,Jaguar,XF 5.0 Litre V8,Petrol
537,2018,1475000,11700,Petrol,Dealer,Automatic,First Owner,Hyundai,Creta 1.6 VTVT AT SX,Plus
538,2017,1100000,10000,Petrol,Individual,Automatic,First Owner,Hyundai,Verna VTVT 1.6 AT SX,Option
539,2014,4400000,100000,Diesel,Individual,Automatic,Second Owner,Mercedes-Benz,GL-Class 350 CDI Blue,Efficiency
540,2016,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Swift ZXI,BSIV
541,2015,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,S-Cross Zeta DDiS 200,SH
